Cruise,Station,Type,DateTime,Lat,Lon,Depth,Temperature,Transmission,PAR,Fluorescence,Density,Oxygen,Salinity,Turbidity,
CCC,SS,T,yyyy-mm-ddThh:mm:ss.sss,degN,degE,m,degC,%,uE/m2/s,volts,kg/m3,uM,PSU,NTU,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,48,10.6825,NaN,NaN,2.0286,1027.2241,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,47.5,10.6827,NaN,NaN,2.0396,1027.2219,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,47,10.6826,NaN,NaN,1.9936,1027.2198,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,46.5,10.6828,NaN,NaN,2.0387,1027.2175,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,46,10.6826,NaN,NaN,2.0234,1027.2152,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,45.5,10.6824,NaN,NaN,2.0523,1027.2131,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,45,10.6826,NaN,NaN,2.0398,1027.2106,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,44.5,10.6823,NaN,NaN,2.0167,1027.2085,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,44,10.6822,NaN,NaN,2.0339,1027.2062,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,43.5,10.6821,NaN,NaN,2.02,1027.2039,NaN,35.2223,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,43,10.6819,NaN,NaN,2.0575,1027.2016,NaN,35.2223,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,42.5,10.6816,NaN,NaN,2.0461,1027.1994,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,42,10.6819,NaN,NaN,2.0562,1027.1968,NaN,35.222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,41.5,10.6818,NaN,NaN,2.0626,1027.1946,NaN,35.2219,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,41,10.6816,NaN,NaN,2.0127,1027.1927,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,40.5,10.6816,NaN,NaN,2.0083,1027.1902,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,40,10.6815,NaN,NaN,2.0304,1027.1877,NaN,35.2219,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,39.5,10.6814,NaN,NaN,2.0484,1027.1854,NaN,35.2218,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,39,10.6813,NaN,NaN,2.059,1027.1833,NaN,35.2219,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,38.5,10.6812,NaN,NaN,2.0346,1027.1811,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,38,10.6812,NaN,NaN,1.9941,1027.1789,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,37.5,10.6815,NaN,NaN,2.0764,1027.1769,NaN,35.2225,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,37,10.6816,NaN,NaN,2.0004,1027.1746,NaN,35.2225,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,36.5,10.6817,NaN,NaN,2,1027.1721,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,36,10.6816,NaN,NaN,2.0325,1027.1698,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,35.5,10.6813,NaN,NaN,2.0642,1027.1678,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,35,10.6813,NaN,NaN,2.0158,1027.1655,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,34.5,10.6815,NaN,NaN,2.0327,1027.1631,NaN,35.2223,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,34,10.6813,NaN,NaN,2.0416,1027.1609,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,33.5,10.6811,NaN,NaN,2.0386,1027.1588,NaN,35.2226,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,33,10.681,NaN,NaN,2.0464,1027.1565,NaN,35.2225,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,32.5,10.6811,NaN,NaN,2.0531,1027.154,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,32,10.6808,NaN,NaN,2.0372,1027.1518,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,31.5,10.6806,NaN,NaN,2.0808,1027.1499,NaN,35.2226,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,31,10.6811,NaN,NaN,2.0284,1027.1474,NaN,35.2225,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,30.5,10.6814,NaN,NaN,2.0498,1027.1451,NaN,35.2226,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,30,10.681,NaN,NaN,2.0225,1027.143,NaN,35.2226,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,29.5,10.6807,NaN,NaN,2.0152,1027.1405,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,29,10.6808,NaN,NaN,2.0303,1027.1381,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,28.5,10.6811,NaN,NaN,2.03,1027.1361,NaN,35.2225,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,28,10.6811,NaN,NaN,2.025,1027.1339,NaN,35.2227,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,27.5,10.681,NaN,NaN,2.0451,1027.1318,NaN,35.2229,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,27,10.681,NaN,NaN,2.0464,1027.1296,NaN,35.2229,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,26.5,10.6812,NaN,NaN,2.0353,1027.1271,NaN,35.2227,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,26,10.6807,NaN,NaN,2.0033,1027.125,NaN,35.2228,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,25.5,10.6802,NaN,NaN,2.0793,1027.1228,NaN,35.2228,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,25,10.6798,NaN,NaN,2.1115,1027.1201,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,24.5,10.6795,NaN,NaN,2.1179,1027.1175,NaN,35.2218,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,24,10.6795,NaN,NaN,2.028,1027.1158,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,23.5,10.6792,NaN,NaN,2.0262,1027.1133,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,23,10.6791,NaN,NaN,2.0461,1027.1108,NaN,35.2217,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,22.5,10.6786,NaN,NaN,2.0259,1027.1085,NaN,35.2216,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,22,10.6784,NaN,NaN,2.0494,1027.1063,NaN,35.2217,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,21.5,10.6781,NaN,NaN,2.0181,1027.1043,NaN,35.2219,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,21,10.678,NaN,NaN,2.055,1027.1019,NaN,35.2218,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,20.5,10.6783,NaN,NaN,2.0224,1027.0992,NaN,35.2213,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,20,10.6782,NaN,NaN,2.0819,1027.097,NaN,35.2213,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,19.5,10.6776,NaN,NaN,2.0222,1027.0951,NaN,35.2217,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,19,10.678,NaN,NaN,2.0597,1027.0928,NaN,35.2217,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,18.5,10.6785,NaN,NaN,2.0337,1027.0905,NaN,35.2218,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,18,10.6786,NaN,NaN,2.009,1027.0888,NaN,35.2226,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,17.5,10.6787,NaN,NaN,2.0738,1027.0866,NaN,35.2227,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,17,10.6787,NaN,NaN,2.0323,1027.0842,NaN,35.2226,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,16.5,10.6784,NaN,NaN,2.0191,1027.082,NaN,35.2225,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,16,10.6781,NaN,NaN,2.0685,1027.0793,NaN,35.222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,15.5,10.6783,NaN,NaN,2.044,1027.077,NaN,35.2219,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,15,10.6781,NaN,NaN,2.01,1027.0748,NaN,35.222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,14.5,10.6782,NaN,NaN,2.0563,1027.0726,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,14,10.6781,NaN,NaN,2.0228,1027.0702,NaN,35.222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,13.5,10.6783,NaN,NaN,2.0296,1027.0678,NaN,35.2219,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,13,10.6781,NaN,NaN,2.0135,1027.0658,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,12.5,10.6783,NaN,NaN,2.0517,1027.0633,NaN,35.2219,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,12,10.6784,NaN,NaN,2.0439,1027.0605,NaN,35.2212,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,11.5,10.6784,NaN,NaN,2.0307,1027.0592,NaN,35.2225,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,11,10.6783,NaN,NaN,2.0437,1027.0568,NaN,35.2223,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,10.5,10.6782,NaN,NaN,2.032,1027.0544,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,10,10.6782,NaN,NaN,1.9988,1027.052,NaN,35.222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,9.5,10.6779,NaN,NaN,2.0156,1027.0498,NaN,35.222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,9,10.6775,NaN,NaN,2.0214,1027.0476,NaN,35.222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,8.5,10.6773,NaN,NaN,2.0118,1027.0453,NaN,35.222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,8,10.6775,NaN,NaN,2.045,1027.0428,NaN,35.2217,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,7.5,10.6775,NaN,NaN,2.0389,1027.0406,NaN,35.2218,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,7,10.6773,NaN,NaN,2.0158,1027.0387,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,6.5,10.6767,NaN,NaN,2.0045,1027.0365,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,6,10.6763,NaN,NaN,2.0294,1027.0343,NaN,35.2221,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,5.5,10.6765,NaN,NaN,2.0368,1027.0319,NaN,35.222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,5,10.6763,NaN,NaN,2.0444,1027.0298,NaN,35.2222,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,4.5,10.6757,NaN,NaN,2.0857,1027.0277,NaN,35.2224,NaN,
WCO,L4,c,2002-01-07T12:00:00.000,50.25174,-4.22056,4,10.6755,NaN,NaN,2.0403,1027.0256,NaN,35.2226,NaN,
